title,episodes,type
"""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu",1.0,movie
"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",1.0,ova
"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",1.0,movie
#Compass 2.0: Sentou Setsuri Kaiseki System,,
.hack//G.U. Trilogy: Parody Mode,1.0,special
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,3.0,special
.hack//Tasogare no Udewa Densetsu: Offline de Aimashou,1.0,special
.hack//The Movie: Sekai no Mukou ni,1.0,movie
.hack//Versus: The Thanatos Report,1.0,special
009 Re:Cyborg,1.0,movie
009 Re:Cyborg x Zip,10.0,ona
009-1: R&B,1.0,special
00:08,1.0,movie
10-pun de Oitsukeru: Shingeki no Kyojin,1.0,ona
100-man-nen Chikyuu no Tabi: Bander Book,1.0,special
1000-nen Joou: Queen Millennia,1.0,movie
11:08,1.0,ona
11eyes: Momoiro Genmutan,1.0,special
12 Shengxiao Guanjiafu: Wangluo Shijie Lixian,12.0,tv
12-sai.: Chicchana Mune no Tokimeki,12.0,tv
12-sai.: Chicchana Mune no Tokimeki 2nd Season,12.0,tv
15-fun de Wakaru Inazuma Eleven: Ares no Tenbin,1.0,ona
15-fun de Wakaru: Kami no Tou,2.0,ona
15-pun de Oitsukeru: Shingeki no Kyojin,1.0,ona
16bit Sensation: Another Layer,,tv
2.43 Mini Anime: Fukui-ben Kouza,8.0,ona
2.43 Mini Anime: Inside Story,10.0,ona
2.43 Mini Anime: Volleyball Kouza,10.0,ona
2.43: Seiin Koukou Danshi Volley-bu,12.0,tv
2.43: Seiin Koukou Danshi Volley-bu Mini Anime,8.0,ona
20-pun de Oitsukeru: Shingeki no Kyojin,1.0,ona
21-ji no Onna: Newscaster Katsuragi Miki,3.0,ova
22/7: 8＋3=?,1.0,special
23:60,1.0,movie
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,1.0,movie
3 Choume no Tama: Uchi no Tama Shirimasen ka?,36.0,tv
3-gatsu no Lion: Ugoku! Nya Shogi,10.0,special
3-nen D-gumi Glass no Kamen: Tobidase! Watashitachi no Victory Road,1.0,movie
3D Kanojo: Real Girl,12.0,tv
3D Kanojo: Real Girl 2nd Season,12.0,tv
3x3 Eyes: Seima Densetsu,3.0,ova
5 Dong 32 Hao: Hesui Fan,4.0,ona
8-gatsu no Symphony: Shibuya 2002-2003,1.0,movie
8-shaku 8-wa Kerakumeguri: Igyou Kaikitan The Animation,3.0,ova
81 Hao Nongchang: Baowei Mai Ji,1.0,movie
81 Hao Nongchang: Fengkuang de Mai Ji,1.0,movie
86 Special Edition: Senya ni Akaku Hinageshi no Saku,1.0,special
91 Days: Mijikai Rousoku,1.0,special
"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",1.0,special
A Cappella Samurai: Harmony-tai wa Edo wo Sukuu,,ona
A Fu Man Youji: Wuxi Renjie,80.0,tv
A Mi Luo: Ge Hai Qi Yuan,13.0,tv
A Mi Luo: Kongzhong Dalu,13.0,tv
A-Channel: +A-Channel,11.0,special
A-Channel: Nabe wo Tabeyou,1.0,special
A-ra-shi: Reborn,1.0,music
AAA de Ikou!!: Yuuna & Akiko,1.0,ova
ACCA: 13-ku Kansatsu-ka,12.0,tv
ACCA: 13-ku Kansatsu-ka - Regards,1.0,ova
ACCA: 13-ku Kansatsu-ka Specials,6.0,special
AEIOUdan: Douro no Tadashii Watari Kata,1.0,ova
AIKa R-16: Virgin Mission,3.0,ova
AIKa: Special Trial,1.0,ova
AIUEO Anime Sekai no Douwa: Aesop Monogatari Anime Series,26.0,tv
AKB0048: Next Stage,13.0,tv
