title,episodes,type
"""Oshi no Ko"" Season 2",,tv
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,12.0,tv
12-sai. 2nd Season,4.0,ova
12-sai.: Chicchana Mune no Tokimeki 2nd Season,12.0,tv
3-gatsu no Lion 2nd Season,22.0,tv
3D Kanojo: Real Girl 2nd Season,12.0,tv
7 Seeds 2nd Season,12.0,ona
A3! Season Autumn & Winter,12.0,tv
A3! Season Spring & Summer,12.0,tv
AOTU Xueyuan 2nd Season,20.0,ona
AU: De Fannao 2nd Season,26.0,tv
AU: Shenqi Luobo 2nd Season,26.0,tv
AU: Shenqi Luobo 3rd Season,26.0,tv
AU: Tu Zhi Lai Le 2nd Season,26.0,tv
AU: Xue Kexue 2nd Season,30.0,tv
Aggressive Retsuko (ONA) 2nd Season,10.0,ona
Aggressive Retsuko (ONA) 3rd Season,10.0,ona
Aggressive Retsuko (ONA) 4th Season,10.0,ona
Aggressive Retsuko (ONA) 5th Season,10.0,ona
Ai Zai Xiyuan Qian 2nd Season,16.0,ona
Akachan Honbuchou 2nd Season,8.0,tv
Akachan Honbuchou 3rd Season,10.0,tv
Akagami no Shirayuki-hime 2nd Season,12.0,tv
Amy & Gollum 2nd Season,104.0,ona
Amy & Gollum 3rd Season,52.0,ona
Ansatsu Kyoushitsu 2nd Season,25.0,tv
Arifureta Shokugyou de Sekai Saikyou 2nd Season,12.0,tv
Arifureta Shokugyou de Sekai Saikyou 2nd Season Picture Drama,12.0,ona
Arifureta Shokugyou de Sekai Saikyou 3rd Season,,tv
Ashuai 2nd Season,34.0,ona
Ashuai 3rd Season,34.0,ona
Ashuai 4th Season,34.0,ona
Ashuai 5th Season,34.0,ona
Ashuai 6th Season,34.0,ona
Ashuai 7th Season,34.0,ona
Ashuai 8th Season,34.0,ona
Ashuai 9th Season,,ona
BT21 Original Story 2nd Season,,ona
Baby Steps 2nd Season,25.0,tv
Bai Bian Bu Lu Ke 2nd Season,20.0,tv
Bai Bian Bu Lu Ke 3rd Season,20.0,tv
Bai Bian Bu Lu Ke 4th Season,20.0,tv
Bai Bian Bu Lu Ke 5th Season,20.0,tv
Bai Bian Xiao Ba 2nd Season,26.0,tv
Bai Bian Xiao Ba 3rd Season,26.0,tv
Bai Bian Xiao Ba 4th Season,26.0,tv
Bai Bian Xiao Ba 5th Season,26.0,tv
Bai Bian Xiao Ba 6th Season,26.0,tv
Bai Bian Xiao Ba: Chao Xue Xianfeng 2nd Season,26.0,tv
Bai Gui Youeryuan 2nd Season,12.0,ona
Bai Gui Youeryuan 3rd Season,12.0,ona
Bai Gui Youeryuan 4th Season,12.0,ona
Bai Yao Pu 2nd Season,12.0,ona
Bai Yao Pu 3rd Season,12.0,ona
Bakuman. 2nd Season,25.0,tv
Bakuman. 2nd Season Special,1.0,special
Bakuman. 3rd Season,25.0,tv
Bakuman. 3rd Season Specials,2.0,special
Balala Xiao Mo Xian: Feiyue Cai Ling Bao 2nd Season,26.0,tv
