label,title,description
1,Resistant Israeli Settlers May Get Prison (AP),AP - Armed settlers who resist evacuation could face five years in prison under a law proposed Sunday before next year's planned removal of all 21 Jewish settlements in the Gaza Strip and four in the West Bank.
1,21 Killed in Fresh Iraq Violence,"BAGHDAD, 6 December 2004 - Seventeen civilians were killed and 13 wounded in Tikrit yesterday as gunmen ambushed a bus full of Iraqis working for the US military, while a car bomb and a gun attack killed four members of the Iraqi security forces "
1,Northern Italy Struck By 5.3 Magnitude Earthquake (Update3),"A 5.3-magnitude earthquake struck Northern Italy at about midnight, the US Geological Survey said. There were no reports of injuries though there was some structural damage."
1,Iraq Conference in Najaf Peace Bid; Oil Well Ablaze," BAGHDAD (Reuters) - U.S. troops and Shi'ite militiamen  battled in the holy Iraqi city of Najaf Monday, just hours  after political and religious leaders in Baghdad agreed to make  a last-ditch appeal for peace."
1,Failure of Gaza pullout plan would be catastrophic: Peres,"JERUSALEM - Opposition leader Shimon Peres warned on Monday Israel would face a catastrophe if the pullout from Gaza is blocked, saying a continued presence in the territory ran counter to national security."
1,Paper birds of peace fly to appease Thailand #39;s Muslims,MORE than 50 military aircraft dropped 120 million origami birds over southern Thailand yesterday in a gesture of peace towards three largely Muslim provinces where 540 people have died in violent clashes this year.
1,"UK Keeps Terror Suspects in Jail, Despite Judgement", LONDON (Reuters) - Britain's top court delivered a severe  jolt to Prime Minister Tony Blair's post-Sept. 11 security  policies on Thursday by ruling against the detention of nine  foreign terrorism suspects without trial.
1,"Jerusalem Suicide Bomber Kills Two, Injures 14 (Update1)","At least two bystanders were killed and 14 injured in an explosion set off by a female suicide bomber at an intersection in northern Jerusalem, police said."
1,France Prepares to Evacuate Citizens from Ivory Coast," ABIDJAN (Reuters) - Protesters in Ivory Coast massed to  support President Laurent Gbagbo for a fifth day on Wednesday  as France prepared to airlift citizens from its former West  African colony, once a model of post-independence prosperity."
1,Turkey Passes Penal Code Reforms,Parliament voted overwhelmingly Sunday to approve penal code reforms aimed at boosting Turkey's chances of starting membership talks with the European Union.
